"Text","Binary_Sentiment","Cont_Sentiment"
"1595    the tragedy of romeo and juliet    by william shakespeare        dramatis personae      chorus","0.0","-3.0353713035583496"
"escalus, prince of verona","0.0","-1.4046590328216553"
"paris, a young count, kinsman to the prince","1.0","1.9102129936218262"
"montague, heads of two houses at variance with each other","1.0","2.7638187408447266"
"capulet, heads of two houses at variance with each other","1.0","2.7638187408447266"
"an old man, of the capulet family","1.0","2.7400999069213867"
"romeo, son to montague","1.0","2.4502007961273193"
"tybalt, nephew to lady capulet","1.0","3.7198896408081055"
"mercutio, kinsman to the prince and friend to romeo","0.0","-4.8869485855102539"
"benvolio, nephew to montague, and friend to romeo      tybalt, nephew to lady capulet","1.0","1.3182435035705566"
"friar laurence, franciscan","0.0","-0.85406357049942017"
"friar john, franciscan","0.0","-0.21992851793766022"
"balthasar, servant to romeo","0.0","-2.2052867412567139"
"abram, servant to montague","1.0","0.63056612014770508"
"sampson, servant to capulet","1.0","0.63056612014770508"
"gregory, servant to capulet","1.0","0.36743199825286865"
"peter, servant to juliet's nurse","0.0","-3.5143427848815918"
"an apothecary","1.0","0.27689903974533081"
"three musicians","0.0","-0.51907080411911011"
"an officer","0.0","-2.2048709392547607"
"lady montague, wife to montague","1.0","0.25205451250076294"
"lady capulet, wife to capulet","1.0","0.25205451250076294"
"juliet, daughter to capulet","0.0","-0.71535086631774902"
"nurse to juliet","0.0","-3.8508729934692383"
"citizens of verona  gentlemen and gentlewomen of both houses       maskers, torchbearers, pages, guards, watchmen, servants, and      attendants","1.0","1.3649511337280273"
"scene   verona  mantua","1.0","0.09359113872051239"
"the prologue                            enter chorus","0.0","-3.0876240730285645"
"chor","1.0","0.024533458054065704"
"two households, both alike in dignity,      in fair verona, where we lay our scene,      from ancient grudge break to new mutiny,      where civil blood makes civil hands unclean","1.0","1.4763317108154297"
"from forth the fatal loins of these two foes      a pair of star cross'd lovers take their life       whose misadventur'd piteous overthrows      doth with their death bury their parents' strife","1.0","4.6458034515380859"
"the fearful passage of their death mark'd love,      and the continuance of their parents' rage,      which, but their children's end, naught could remove,      is now the two hours' traffic of our stage       the which if you with patient ears attend,      what here shall miss, our toil shall strive to mend","1.0","1.1767704486846924"
"exit","0.0","-0.50551515817642212"
"act i","0.0","-0.52427738904953003"
"scene i   verona","0.0","-0.25266504287719727"
"a public place","1.0","0.18458601832389832"
"enter sampson and gregory (with swords and bucklers) of the house  of capulet","1.0","1.5591830015182495"
"samp","1.0","0.024533458054065704"
"gregory, on my word, we'll not carry coals","1.0","0.36855208873748779"
"greg","0.0","-1.5987770557403564"
"no, for then we should be colliers","0.0","-1.5738809108734131"
"samp","1.0","0.024533458054065704"
"i mean, an we be in choler, we'll draw","1.0","0.081433340907096863"
"greg","0.0","-1.5987770557403564"
"ay, while you live, draw your neck out of collar","1.0","0.76674056053161621"
"samp","1.0","0.024533458054065704"
"i strike quickly, being moved","1.0","2.2020778656005859"
"greg","0.0","-1.5987770557403564"
"but thou art not quickly moved to strike","1.0","1.9408067464828491"
"samp","1.0","0.024533458054065704"
"a dog of the house of montague moves me","0.0","-0.074435815215110779"
"greg","0.0","-1.5987770557403564"
"to move is to stir, and to be valiant is to stand","1.0","0.16541983187198639"
"therefore, if thou art moved, thou runn'st away","1.0","5.0649986267089844"
"samp","1.0","0.024533458054065704"
"a dog of that house shall move me to stand","0.0","-7.9447660446166992"
"i will take      the wall of any man or maid of montague's","1.0","1.5264325141906738"
"greg","0.0","-1.5987770557403564"
"that shows thee a weak slave  for the weakest goes to the      wall","0.0","-4.421788215637207"
"samp","1.0","0.024533458054065704"
"'tis true  and therefore women, being the weaker vessels,      are ever thrust to the wall","0.0","-0.4993167519569397"
"therefore i will push montague's men      from the wall and thrust his maids to the wall","1.0","0.72053337097167969"
"greg","0.0","-1.5987770557403564"
"the quarrel is between our masters and us their men","1.0","3.0930676460266113"
"samp","1.0","0.024533458054065704"
"'tis all one","0.0","-0.29100483655929565"
"i will show myself a tyrant","1.0","0.95297574996948242"
"when i have      fought with the men, i will be cruel with the maids  i will cut off      their heads","0.0","-0.026903077960014343"
"greg","0.0","-1.5987770557403564"
"the heads of the maids?","0.0","-1.5712258815765381"
"samp","1.0","0.024533458054065704"
"ay, the heads of the maids, or their maidenheads","1.0","1.2229738235473633"
"take it in what sense thou wilt","0.0","-0.72150146961212158"
"greg","0.0","-1.5987770557403564"
"they must take it in sense that feel it","1.0","1.1532186269760132"
"samp","1.0","0.024533458054065704"
"me they shall feel while i am able to stand  and 'tis known i      am a pretty piece of flesh","1.0","3.3208980560302734"
"greg","0.0","-1.5987770557403564"
"'tis well thou art not fish  if thou hadst, thou hadst      been poor john","0.0","-0.4868389368057251"
"draw thy tool!","0.0","-0.87705278396606445"
"here comes two of the house of      montagues","1.0","0.93717443943023682"
"enter two other servingmen  abram and balthasar","0.0","-0.038010783493518829"
"samp","1.0","0.024533458054065704"
"my naked weapon is out","0.0","-3.0358767509460449"
"quarrel!","1.0","0.54658794403076172"
"i will back thee","1.0","1.2915714979171753"
"greg","0.0","-1.5987770557403564"
"how?","0.0","-1.5498110055923462"
"turn thy back and run?","0.0","-2.291623592376709"
"samp","1.0","0.024533458054065704"
"fear me not","0.0","-1.8400576114654541"
"greg","0.0","-1.5987770557403564"
"no, marry","0.0","-0.19538548588752747"
"i fear thee!","1.0","0.44122284650802612"
"samp","1.0","0.024533458054065704"
"let us take the law of our sides  let them begin","1.0","0.50154900550842285"
"greg","0.0","-1.5987770557403564"
"i will frown as i pass by, and let them take it as they list","0.0","-2.0010280609130859"
"samp","1.0","0.024533458054065704"
"nay, as they dare","0.0","-0.89405596256256104"
"i will bite my thumb at them  which is      disgrace to them, if they bear it","0.0","-1.540305495262146"
"abr","1.0","0.024533458054065704"
"do you bite your thumb at us, sir?","0.0","-1.17059326171875"
"samp","1.0","0.024533458054065704"
"i do bite my thumb, sir","0.0","-0.80652910470962524"
"abr","1.0","0.024533458054065704"
